faostat,m49_code,country_name_en,item_code,item,year,yield_kg_ha,yield_kg_ha_flag,production_tonnes,production_tonnes_flag,area_harvested_ha,area_harvested_ha_flag
44,170,Colombia,800,"Agave fibres, raw, n.e.c.",2020,,,14907.580000,E,19325.000000,I
49,192,Cuba,800,"Agave fibres, raw, n.e.c.",1969,,,10500.000000,E,10000.000000,E
49,192,Cuba,800,"Agave fibres, raw, n.e.c.",1997,,,8735.010000,I,16727.000000,I
49,192,Cuba,800,"Agave fibres, raw, n.e.c.",1971,,,10500.000000,E,10000.000000,E
49,192,Cuba,800,"Agave fibres, raw, n.e.c.",2017,,,3548.650000,I,7957.000000,I
49,192,Cuba,800,"Agave fibres, raw, n.e.c.",1990,,,7423.000000,E,8863.000000,E
49,192,Cuba,800,"Agave fibres, raw, n.e.c.",1963,,,10000.000000,X,10000.000000,E
49,192,Cuba,800,"Agave fibres, raw, n.e.c.",1961,,,11100.000000,X,10000.000000,E
49,192,Cuba,800,"Agave fibres, raw, n.e.c.",1983,,,11600.000000,E,10000.000000,E
49,192,Cuba,800,"Agave fibres, raw, n.e.c.",2013,,,4000.000000,E,8600.000000,E
49,192,Cuba,800,"Agave fibres, raw, n.e.c.",1994,,,9723.480000,I,18074.000000,I
49,192,Cuba,800,"Agave fibres, raw, n.e.c.",1995,,,9386.180000,I,17619.000000,I
58,218,Ecuador,800,"Agave fibres, raw, n.e.c.",2008,,,3800.000000,E,2900.000000,E
58,218,Ecuador,800,"Agave fibres, raw, n.e.c.",1993,,,2200.000000,E,1900.000000,E
58,218,Ecuador,800,"Agave fibres, raw, n.e.c.",2001,,,2721.730000,I,2650.000000,E
58,218,Ecuador,800,"Agave fibres, raw, n.e.c.",1973,,,0.000000,A,0.000000,A
58,218,Ecuador,800,"Agave fibres, raw, n.e.c.",1990,,,2141.000000,A,1893.000000,A
58,218,Ecuador,800,"Agave fibres, raw, n.e.c.",1963,,,0.000000,A,0.000000,A
58,218,Ecuador,800,"Agave fibres, raw, n.e.c.",2013,,,4200.000000,E,3000.000000,E
60,222,El Salvador,800,"Agave fibres, raw, n.e.c.",1993,,,9800.000000,E,10000.000000,E
60,222,El Salvador,800,"Agave fibres, raw, n.e.c.",2003,,,2938.410000,I,4202.000000,I
60,222,El Salvador,800,"Agave fibres, raw, n.e.c.",1997,,,5520.000000,A,4200.000000,A
60,222,El Salvador,800,"Agave fibres, raw, n.e.c.",2015,,,1541.550000,I,4081.000000,I
60,222,El Salvador,800,"Agave fibres, raw, n.e.c.",1996,,,5962.000000,A,5600.000000,A
89,320,Guatemala,800,"Agave fibres, raw, n.e.c.",1976,,,900.000000,E,1100.000000,E
